I'mid,symbol_name,culture_region,site_name,harmonic_ratio,cross_entropy_score,chronology_bce,frequency_cluster,probable_concept,description,latitude,longitude,symbol_image_path
60,Condor-Serpent,Andean,Cusco,5:3,0.90,1400 BCE,C-High,Heaven-earth synthesis,Bird-serpent motif forming ascending spiral.,-13.532,-71.967,
61,Step-Spiral,Andean,Nazca,3:2,0.81,1000 BCE,A-Low,Ascension / motion,Stepped spiral lines echoing ziggurat geometry.,-14.739,-75.130,
62,Sun-Puma Glyph,Andean,Tiwanaku,7:4,0.92,900 BCE,C-High,Power / solar guard,Four-directional puma surrounding solar core.,-16.554,-68.673,
63,Water-Serpent,Indo-Pacific,Laos,5:4,0.84,1100 BCE,B-Mid,River energy / transformation,Serpent motif along Mekong basin carvings.,17.965,102.612,
64,Triple Wave Knot,Andean,Ecuador,8:5,0.86,800 BCE,C-High,Interwoven energy / time,Three waves looping through each other.,-1.831,-78.183,
65,Lunar Mirror,Indo-Pacific,Philippines,4:3,0.80,1300 BCE,A-Low,Reflection / dual awareness,Paired crescents mirrored across center line.,12.879,121.774,
66,Circle-Step Mandala,Andean,Bolivia,9:8,0.83,700 BCE,B-Mid,Stepwise evolution / unity,Concentric steps arranged as circular progression.,-17.413,-66.165,
67,Feathered Spiral,Andean,Paracas,5:4,0.91,900 BCE,C-High,Wind / vibration,Feather motif curving into golden spiral form.,-13.835,-76.247,
68,Sun-Serpent Ring,Andean,Chavin,3:2,0.87,800 BCE,B-Mid,Resonant light / wisdom,Serpent ring enclosing radiant disc.,-9.590,-77.170,
69,Wave-Dot Pattern,Indo-Pacific,Vietnam,8:5,0.84,1200 BCE,A-Low,Rhythm / rainfall,Wavy lines punctuated by equidistant dots.,14.058,108.277,
70,Stellar Spiral,Andean,Chile,7:5,0.89,700 BCE,C-High,Stars / cycles / guidance,Spiral petroglyph aligned with southern sky arcs.,-23.650,-70.400,

